t,ABS_RX,ABS_RY,ABS_RZ,ABS_X,ABS_Y,ABS_Z
1654431148.5438628,126,126,0,136,0,0
1654431148.57999,127,126,0,136,0,0
1654431148.615927,127,125,0,136,0,0
1654431148.651947,126,126,0,136,0,0
1654431148.687967,125,126,0,137,0,0
1654431148.7241726,126,126,0,136,0,0
1654431148.7600203,126,126,0,135,0,0
1654431148.7960773,127,126,0,135,0,0
1654431148.832092,125,126,0,136,0,0
1654431148.86805,126,125,0,136,0,0
1654431148.9694211,127,126,0,136,0,0
1654431149.008169,125,125,0,137,0,0
1654431149.0440176,126,125,0,136,0,0
1654431149.0881164,126,125,0,136,0,0
1654431149.127973,126,126,0,135,0,0
1654431149.1639655,127,126,0,135,0,0
1654431149.199987,126,126,0,136,0,0
1654431149.2359023,126,126,0,136,0,0
1654431149.2720864,126,126,0,136,0,0
1654431149.3079784,126,126,0,136,0,0
1654431149.3440027,127,126,0,136,0,0
1654431149.3839388,126,126,0,135,0,0
1654431149.4201102,126,126,0,130,0,0
1654431149.4559672,126,125,0,127,0,0
1654431149.4919817,126,126,0,127,0,0
1654431149.5280282,127,126,0,132,0,0
1654431149.5640025,126,126,0,130,0,0
1654431149.5999558,126,126,0,129,0,0
1654431149.6359525,127,126,0,125,0,0
1654431149.6719947,127,126,0,126,0,0
1654431149.7079988,126,126,0,125,0,0
1654431149.7440312,126,125,0,124,0,0
1654431149.7800488,126,126,0,124,0,0
1654431149.8160765,127,126,0,120,128,0
1654431149.8522701,126,125,0,112,133,0
1654431149.8882682,126,126,0,109,133,0
1654431149.9241788,126,126,0,99,133,0
1654431149.960212,126,126,0,100,133,0
1654431149.9962564,127,126,0,100,133,0
1654431150.0322394,128,126,0,98,133,0
1654431150.0680935,127,126,0,96,133,0
1654431150.1041615,126,125,0,88,133,0
1654431150.1400838,126,126,0,87,133,0
1654431150.1761672,126,126,0,85,133,0
1654431150.2121942,125,126,0,74,133,0
1654431150.248151,127,126,0,70,134,0
1654431150.2841465,127,125,0,63,134,0
1654431150.3201056,127,126,0,62,134,0
1654431150.3560991,126,126,0,54,134,0
1654431150.3920827,126,126,0,50,134,0
1654431150.4281259,127,126,0,50,134,0
1654431150.4641416,126,126,0,47,134,0
1654431150.5002759,126,125,0,47,135,0
1654431150.5363426,126,126,0,39,134,0
1654431150.5721834,127,126,0,31,134,0
1654431150.6082222,126,126,0,30,134,0
1654431150.6443057,126,126,0,29,134,0
1654431150.6842613,126,126,0,24,134,0
1654431150.7202282,126,126,0,16,134,0
1654431150.7563326,126,126,0,17,134,0
1654431150.7923431,126,126,0,4,134,0
1654431150.828256,126,126,0,4,134,0
1654431150.8644078,126,127,0,3,134,0
1654431150.9003675,127,126,0,3,135,0
1654431150.9363194,127,126,0,3,134,0
1654431150.9722245,127,125,0,3,135,0
1654431151.0083635,126,126,0,4,134,0
1654431151.0485046,126,126,0,3,135,0
1654431151.084288,127,126,0,3,135,0
1654431151.1243436,126,126,0,2,134,0
1654431151.1603174,126,126,0,3,134,0
1654431151.196258,126,126,0,3,134,0
1654431151.2321713,126,125,0,3,134,0
1654431151.2684102,127,126,0,3,134,0
1654431151.3043587,126,126,0,3,134,0
1654431151.3442817,126,125,0,3,135,0
1654431151.380298,126,125,0,3,135,0
1654431151.416339,126,126,0,4,135,0
1654431151.452425,126,126,0,4,137,0
1654431151.4963202,126,126,0,4,137,0
1654431151.532355,126,126,0,3,142,0
1654431151.5683997,126,126,0,3,154,0
1654431151.6043777,127,126,0,3,157,0
1654431151.640343,127,125,0,3,157,0
1654431151.6763647,126,125,0,2,157,0
1654431151.7123935,126,126,0,3,157,0
1654431151.748341,126,126,0,2,157,0
1654431151.784395,128,126,0,2,157,0
1654431151.820381,127,126,0,3,157,0
1654431151.8564262,126,125,0,2,157,0
1654431151.8924146,126,125,0,3,157,0
1654431151.9404318,126,125,0,3,157,0
1654431151.9764156,125,126,0,3,157,0
1654431152.01247,126,126,0,3,157,0
1654431152.0483727,127,126,0,3,157,0
1654431152.0844648,126,125,0,2,158,0
1654431152.1204307,127,126,0,3,157,0
1654431152.1564095,126,126,0,3,157,0
1654431152.1923375,125,126,0,3,157,0
1654431152.2283254,127,126,0,3,157,0
1654431152.268418,127,126,0,3,157,0
1654431152.3043928,126,126,0,2,157,0
1654431152.3404322,126,125,0,3,157,0
1654431152.376489,126,126,0,14,156,0
1654431152.412415,126,126,0,11,156,0
1654431152.4483974,126,126,0,21,156,0
1654431152.484391,126,126,0,15,156,0
1654431152.5203674,127,125,0,17,156,0
1654431152.5563893,126,125,0,22,156,0
1654431152.5924633,126,126,0,28,156,0
1654431152.6282885,126,126,0,33,155,0
1654431152.6642933,127,126,0,33,155,0
1654431152.7003584,127,127,0,47,155,0
1654431152.7364264,126,125,0,64,152,0
1654431152.772396,126,126,0,79,148,0
1654431152.808332,126,126,0,77,147,0
1654431152.8445294,127,126,0,85,147,0
1654431152.8805332,127,126,0,98,145,0
1654431152.9163678,126,125,0,109,140,0
1654431152.9525218,126,126,0,112,139,0
1654431152.988447,126,126,0,122,137,0
1654431153.0244148,127,126,0,130,134,0
1654431153.0604727,126,126,0,129,134,0
1654431153.096544,126,126,0,123,134,0
1654431153.1325376,125,125,0,134,134,0
1654431153.1685045,126,126,0,136,133,0
1654431153.2044652,127,126,0,135,129,0
1654431153.240526,126,126,0,135,129,0
1654431153.2764928,126,126,0,131,129,0
1654431153.312532,126,125,0,128,129,0
1654431153.3485844,126,126,0,136,129,0
1654431153.3846028,127,126,0,135,129,0
1654431153.4206028,126,126,0,134,128,0
1654431153.4565132,126,126,0,131,128,0
1654431153.4925294,126,126,0,126,128,0
1654431153.5284805,127,126,0,128,129,0
1654431153.5645616,127,126,0,130,129,0
1654431153.6006484,126,126,0,129,128,0
1654431153.6366315,126,126,0,130,128,0
1654431153.6725843,126,126,0,127,129,0
1654431153.7085052,126,126,0,127,128,0
1654431153.7447324,127,126,0,130,129,0
1654431153.7806244,126,126,0,131,129,0
1654431153.816665,126,126,0,130,128,0
1654431153.852679,126,126,0,129,128,0
1654431153.8885581,126,126,0,127,128,0
1654431153.9245982,126,125,0,131,129,0
1654431153.9606385,127,126,0,130,129,0
1654431153.996646,126,126,0,130,128,0
1654431154.0326135,126,126,0,130,128,0
1654431154.0686204,127,126,0,128,128,0
1654431154.1047516,126,126,0,127,129,0
1654431154.140695,126,126,0,127,129,0
1654431154.1766303,126,126,0,134,128,0
1654431154.2126176,126,126,0,132,128,0
1654431154.248621,126,126,0,128,128,0
1654431154.2846231,126,126,0,136,128,0
1654431154.324612,127,126,0,128,129,0
1654431154.3606832,127,126,0,138,129,0
1654431154.396632,126,126,0,138,128,0
1654431154.4326236,125,126,0,143,128,0
1654431154.4686484,126,126,0,146,128,0
1654431154.5046446,126,125,0,152,128,0
1654431154.5406873,127,126,0,166,128,0
1654431154.5766337,126,126,0,179,129,0
1654431154.6126802,125,126,0,189,129,0
1654431154.6486251,126,126,0,189,128,0
1654431154.6846254,126,127,0,189,128,0
1654431154.7206638,126,126,0,194,129,0
1654431154.7566104,128,126,0,193,129,0
1654431154.7927015,126,125,0,199,129,0
1654431154.8287187,127,127,0,202,128,0
1654431154.8647552,126,126,0,214,128,0
1654431154.9047463,127,126,0,224,128,0
1654431154.9407465,126,125,0,231,129,0
1654431154.9767516,127,125,0,234,129,0
1654431155.0127335,126,126,0,238,129,0
1654431155.0486495,126,126,0,247,128,0
1654431155.0847337,126,126,0,255,129,0
1654431155.1208186,125,126,0,255,128,0
1654431155.156732,126,126,0,255,128,0
1654431155.1966398,126,126,0,255,129,0
1654431155.232746,127,125,0,255,129,0
1654431155.268752,126,125,0,255,129,0
1654431155.3048096,126,126,0,255,129,0
